Date,Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Change In Soil Moisture Percent -8in (pct)
1/1/00,,0.2,
1/2/00,,0.1,
1/3/00,,0,
1/4/00,,0,
1/5/00,,0,
1/6/00,,0,
1/7/00,,0,
1/8/00,,0,
1/9/00,,0,
1/10/00,,0,
1/11/00,,0,
1/12/00,,0,
1/13/00,,0,
1/14/00,,0,
1/15/00,,0,
1/16/00,,0,
1/17/00,,0,
1/18/00,,0,
1/19/00,,0,
1/20/00,,0,
1/21/00,,0,
1/22/00,,0,
1/23/00,,0,
1/24/00,,0,
1/25/00,,0,
1/26/00,,0.1,
1/27/00,,0.3,
1/28/00,,0,
1/29/00,,0.1,
1/30/00,,0,
1/31/00,,0,
2/1/00,,0,
2/2/00,,0,
2/3/00,,0,
2/4/00,,0,
2/5/00,,0,
2/6/00,,0,
2/7/00,,0,
2/8/00,,0,
2/9/00,,0,
2/10/00,,0.3,
2/11/00,,0.1,
2/12/00,,0.5,
2/13/00,,0.2,
2/14/00,,0.1,
2/15/00,,0,
2/16/00,,0.1,
2/17/00,,0.3,
2/18/00,,0.1,
2/19/00,,0.2,
2/20/00,,0.4,
2/21/00,,1.1,
2/22/00,,0,
2/23/00,,1,
2/24/00,,0.6,
2/25/00,,0.1,
2/26/00,,0.3,
2/27/00,,0.1,
2/28/00,,0.3,
2/29/00,,0.1,
3/1/00,,0.4,
3/2/00,,0,
3/3/00,,0.2,
3/4/00,,0.1,
3/5/00,,0.8,
3/6/00,,0.7,
3/7/00,,0.1,
3/8/00,,0.7,
3/9/00,,0.2,
3/10/00,,0,
3/11/00,,0.1,
3/12/00,,0,
3/13/00,,0,
3/14/00,,0,
3/15/00,,0,
3/16/00,,0.1,
3/17/00,,0,
3/18/00,,0,
3/19/00,,0,
3/20/00,,0.3,
3/21/00,,0.4,
3/22/00,,0,
3/23/00,,0,
3/24/00,,0.1,
3/25/00,,0,
3/26/00,,0,
3/27/00,,0,
3/28/00,,0,
3/29/00,,0,
3/30/00,,0,
3/31/00,,0,
4/1/00,,0,
4/2/00,,0,
4/3/00,,0,
4/4/00,,0,
4/5/00,,0,
4/6/00,,0,
4/7/00,,0,
4/8/00,,0,
4/9/00,,0,
4/10/00,,0,
4/11/00,,0,
4/12/00,,0,
4/13/00,,0,
4/14/00,,0,
4/15/00,,0,
4/16/00,,0,
4/17/00,,0,
4/18/00,,0.2,
4/19/00,,0,
4/20/00,,0,
4/21/00,,0,
4/22/00,,0,
4/23/00,,0,
4/24/00,,0,
4/25/00,,0,
4/26/00,,0,
4/27/00,,0,
4/28/00,,0,
4/29/00,,0.2,
4/30/00,,0,
5/1/00,,0,
5/2/00,,0,
5/3/00,,0,
5/4/00,,0,
5/5/00,,0,
5/6/00,,0,
5/7/00,,0,
5/8/00,,0,
5/9/00,,0,
5/10/00,,0,
5/11/00,,0.1,
5/12/00,,0,
5/13/00,,0,
