Date,Relative Humidity Average (pct),Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Change In Precipitation Increment - Snow-adj (in),Change In Soil Moisture Percent -8in (pct)
10/1/80,,,0.2,,
10/2/80,,,0,-0.2,
10/3/80,,,0,0,
10/4/80,,,0,0,
10/5/80,,,0,0,
10/6/80,,,0,0,
10/7/80,,,0,0,
10/8/80,,,0,0,
10/9/80,,,0,0,
10/10/80,,,0,0,
10/11/80,,,0,0,
10/12/80,,,0.5,0.5,
10/13/80,,,0.3,-0.2,
10/14/80,,,0,-0.3,
10/15/80,,,0,0,
10/16/80,,,0,0,
10/17/80,,,0,0,
10/18/80,,,0,0,
10/19/80,,,0,0,
10/20/80,,,0,0,
10/21/80,,,0,0,
10/22/80,,,0,0,
10/23/80,,,0,0,
10/24/80,,,0,0,
10/25/80,,,0.3,0.3,
10/26/80,,,0,-0.3,
10/27/80,,,0.2,0.2,
10/28/80,,,0,-0.2,
10/29/80,,,0,0,
10/30/80,,,0,0,
10/31/80,,,0,0,
11/1/80,,,0,0,
11/2/80,,,0,0,
11/3/80,,,0,0,
11/4/80,,,0,0,
11/5/80,,,0.6,0.6,
11/6/80,,,0.5,-0.1,
11/7/80,,,0.8,0.3,
11/8/80,,,0.4,-0.4,
11/9/80,,,0,-0.4,
11/10/80,,,0.4,0.4,
11/11/80,,,0.4,0,
11/12/80,,,0,-0.4,
11/13/80,,,0,0,
11/14/80,,,0.1,0.1,
11/15/80,,,0,-0.1,
11/16/80,,,0,0,
11/17/80,,,0,0,
11/18/80,,,0,0,
11/19/80,,,0.1,0.1,
11/20/80,,,0,-0.1,
11/21/80,,,0.9,0.9,
11/22/80,,,0.2,-0.7,
11/23/80,,,0.4,0.2,
11/24/80,,,0,-0.4,
11/25/80,,,0.1,0.1,
11/26/80,,,0,-0.1,
11/27/80,,,0,0,
11/28/80,,,0.1,0.1,
11/29/80,,,0.2,0.1,
11/30/80,,,0.1,-0.1,
12/1/80,,,0.8,0.7,
12/2/80,,,3,2.2,
12/3/80,,,1,-2,
12/4/80,,,0,-1,
12/5/80,,,0,0,
12/6/80,,,0,0,
12/7/80,,,0,0,
12/8/80,,,0,0,
12/9/80,,,0,0,
12/10/80,,,0,0,
12/11/80,,,0,0,
12/12/80,,,0.4,0.4,
12/13/80,,,0,-0.4,
12/14/80,,,0,0,
12/15/80,,,0,0,
12/16/80,,,0,0,
12/17/80,,,0.2,0.2,
12/18/80,,,0,-0.2,
12/19/80,,,0,0,
12/20/80,,,0,0,
12/21/80,,,1.6,1.6,
12/22/80,,,0.5,-1.1,
12/23/80,,,0,-0.5,
12/24/80,,,0.6,0.6,
12/25/80,,,0.3,-0.3,
12/26/80,,,0.3,0,
12/27/80,,,0,-0.3,
12/28/80,,,0,0,
12/29/80,,,0,0,
12/30/80,,,0,0,
12/31/80,,,0,0,
1/1/81,,,0,0,
1/2/81,,,0,0,
1/3/81,,,0,0,
1/4/81,,,0,0,
1/5/81,,,0,0,
1/6/81,,,0,0,
1/7/81,,,0,0,
1/8/81,,,0,0,
1/9/81,,,0,0,
1/10/81,,,0,0,
1/11/81,,,0,0,
1/12/81,,,0,0,
1/13/81,,,0,0,
1/14/81,,,0,0,
1/15/81,,,0,0,
1/16/81,,,0,0,
1/17/81,,,0,0,
1/18/81,,,0,0,
1/19/81,,,0,0,
1/20/81,,,0,0,
1/21/81,,,0,0,
1/22/81,,,0,0,
1/23/81,,,0.8,0.8,
1/24/81,,,0,-0.8,
1/25/81,,,0,0,
1/26/81,,,0.3,0.3,
1/27/81,,,0.5,0.2,
1/28/81,,,0.5,0,
1/29/81,,,0.3,-0.2,
1/30/81,,,0,-0.3,
1/31/81,,,0,0,
2/1/81,,,0,0,
2/2/81,,,0,0,
2/3/81,,,0,0,
2/4/81,,,0,0,
2/5/81,,,0,0,
2/6/81,,,0,0,
2/7/81,,,0,0,
2/8/81,,,0,0,
2/9/81,,,0,0,
2/10/81,,,0,0,
2/11/81,,,0.5,0.5,
2/12/81,,,0,-0.5,
2/13/81,,,0.6,0.6,
2/14/81,,,0.8,0.2,
2/15/81,,,0.9,0.1,
2/16/81,,,0.4,-0.5,
2/17/81,,,0.3,-0.1,
2/18/81,,,0.1,-0.2,
2/19/81,,,0.1,0,
2/20/81,,,0.2,0.1,
2/21/81,,,0,-0.2,
2/22/81,,,0.2,0.2,
2/23/81,,,0,-0.2,
2/24/81,,,0,0,
2/25/81,,,0,0,
2/26/81,,,0,0,
2/27/81,,,0,0,
2/28/81,,,0,0,
3/1/81,,,0,0,
3/2/81,,,0,0,
3/3/81,,,0,0,
3/4/81,,,0,0,
3/5/81,,,0,0,
3/6/81,,,0,0,
3/7/81,,,0,0,
3/8/81,,,0,0,
3/9/81,,,0,0,
3/10/81,,,0,0,
3/11/81,,,0,0,
3/12/81,,,0,0,
3/13/81,,,0,0,
3/14/81,,,0,0,
3/15/81,,,0,0,
3/16/81,,,0.7,0.7,
3/17/81,,,0,-0.7,
3/18/81,,,0.5,0.5,
3/19/81,,,0.2,-0.3,
