Date,Relative Humidity Average (pct),Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Soil Moisture Percent -8in (pct) Start of Day Values
1/1/00,100,17,0,3.7
1/2/00,100,11,0.3,3.7
1/3/00,100,10,0.1,3.8
1/4/00,100,19,1,3.8
1/5/00,100,13,0,3.8
1/6/00,87,15,0.1,3.7
1/7/00,100,18,0,3.7
1/8/00,100,18,0.6,3.7
1/9/00,100,19,0.7,3.8
1/10/00,100,17,1.7,3.8
1/11/00,100,23,1.6,3.7
1/12/00,100,12,0,3.7
1/13/00,100,20,0.4,3.7
1/14/00,100,27,0.1,3.7
1/15/00,100,27,0.8,3.7
1/16/00,100,25,0,3.7
1/17/00,100,19,0,3.7
1/18/00,100,28,0.3,3.7
1/19/00,100,27,0,3.8
1/20/00,100,28,0.1,3.7
1/21/00,100,20,0,3.7
1/22/00,100,18,0,3.7
1/23/00,100,17,0,3.7
1/24/00,100,25,0.4,3.7
1/25/00,100,26,0.1,3.7
1/26/00,100,18,0,3.7
1/27/00,100,9,0,3.7
1/28/00,100,11,0,3.6
1/29/00,99,13,0,3.8
1/30/00,89,16,0.1,3.8
1/31/00,100,17,0.1,3.7
2/1/00,100,24,0.1,3.6
2/2/00,78,28,0,3.7
2/3/00,28,32,0,3.7
2/4/00,98,29,0,3.7
2/5/00,100,28,0.3,3.9
2/6/00,95,28,0,3.9
2/7/00,59,31,0,3.7
2/8/00,100,33,0.1,3.7
2/9/00,100,29,0,3.8
2/10/00,100,27,0.1,3.9
2/11/00,100,25,0.5,3.7
2/12/00,100,23,0.6,3.7
2/13/00,100,19,0.7,3.7
2/14/00,100,26,1.5,3.7
2/15/00,100,19,0,3.7
2/16/00,100,22,0,3.7
2/17/00,100,18,0,3.7
2/18/00,92,14,0,3.7
2/19/00,36,18,0,3.8
2/20/00,95,28,0.1,3.8
2/21/00,100,31,0,3.8
2/22/00,100,26,0.5,3.8
2/23/00,100,25,1.9,3.7
2/24/00,100,17,0.2,3.8
2/25/00,100,14,0,3.8
2/26/00,100,21,0.3,3.7
2/27/00,100,27,0.5,3.8
2/28/00,100,25,0.2,3.7
2/29/00,100,24,0.1,3.7
3/1/00,100,24,0,3.9
3/2/00,100,23,0,3.7
3/3/00,83,27,0,3.7
3/4/00,78,33,0,3.7
3/5/00,100,34,0.4,3.9
3/6/00,100,26,0.2,3.8
3/7/00,100,20,0,3.9
3/8/00,100,21,0,3.8
3/9/00,100,21,0.2,3.8
3/10/00,100,22,0,3.8
3/11/00,100,22,0.1,3.8
3/12/00,92,20,0,4
3/13/00,91,26,0,3.8
3/14/00,95,26,0.3,3.9
3/15/00,86,19,0,3.8
3/16/00,100,23,0.4,3.9
3/17/00,100,18,0.1,4
3/18/00,100,24,0.4,4.1
3/19/00,100,20,0.7,4.1
3/20/00,97,15,0,4
3/21/00,99,24,0.1,4
3/22/00,72,33,0,4.1
3/23/00,100,24,0.2,4.2
3/24/00,77,22,0,4.1
3/25/00,100,33,0,4.1
3/26/00,71,34,0.1,4.1
3/27/00,100,36,0.1,4.2
3/28/00,100,23,0,4.1
3/29/00,100,19,0.1,4.3
3/30/00,79,24,0,4.6
3/31/00,43,29,0,5.3
4/1/00,85,34,0.1,5.7
4/2/00,94,38,0,5.7
4/3/00,58,39,0,5.7
4/4/00,58,44,0,6.2
4/5/00,45,34,0,8.6
4/6/00,77,29,0,10.3
4/7/00,71,31,0,9.7
4/8/00,97,38,0.2,9.5
4/9/00,100,31,0.3,9.1
4/10/00,95,36,0,9.3
4/11/00,54,41,0,9.5
4/12/00,73,45,0,9.5
4/13/00,100,35,0.3,10
4/14/00,100,32,0,10.5
4/15/00,95,33,0.1,10.2
4/16/00,100,33,0.1,10
4/17/00,63,40,0,9.8
4/18/00,100,38,0.4,9.7
4/19/00,100,37,0,10
4/20/00,100,38,0.1,10.7
4/21/00,95,41,0,10.5
4/22/00,100,36,0,10.6
4/23/00,92,30,0,10.7
4/24/00,64,29,0,10.5
4/25/00,100,33,0.4,10.4
4/26/00,83,38,0,10.1
4/27/00,100,48,0.2,10
4/28/00,94,36,0,9.9
4/29/00,80,31,0,10.9
4/30/00,50,41,0,10.7
5/1/00,49,48,0,10.3
5/2/00,49,43,0,10.4
5/3/00,86,45,0,10.9
5/4/00,100,38,0.2,11
5/5/00,100,33,0.3,11.3
5/6/00,100,31,0.2,11.1
5/7/00,100,31,0.3,10.9
5/8/00,100,34,0.1,10.5
5/9/00,93,34,0.1,10.3
5/10/00,100,27,0.2,10.2
5/11/00,100,23,0.5,10.1
5/12/00,78,29,0,10.1
5/13/00,72,38,0.1,10
5/14/00,83,42,0,10
5/15/00,60,45,0.1,9.8
5/16/00,100,41,0.1,10.1
5/17/00,95,42,0,10.8
5/18/00,93,44,0,11.1
5/19/00,97,44,0,11.7
5/20/00,71,46,0.1,11.7
5/21/00,66,50,0,11.7
5/22/00,80,50,0,12.4
5/23/00,95,47,0,12.7
5/24/00,96,47,0,12.6
5/25/00,69,45,0,12.6
5/26/00,76,42,0,12.3
5/27/00,100,45,0,12
5/28/00,96,45,0,12
5/29/00,64,42,0,12.4
5/30/00,90,40,0,12.2
5/31/00,99,31,0,12
6/1/00,52,42,0.1,11.8
6/2/00,44,53,0,11.4
6/3/00,50,53,0,12
6/4/00,22,58,0,12.9
6/5/00,57,59,0,13.5
6/6/00,40,54,0,13.7
6/7/00,37,59,0,13.4
6/8/00,100,46,0,12.8
6/9/00,86,40,0,11.8
6/10/00,99,41,0,11
6/11/00,96,43,0,10.4
6/12/00,100,41,1.1,10.1
6/13/00,83,45,0,11.2
6/14/00,67,53,0,12.2
