Date,Air Temperature Observed (degF) Start of Day Values,Precipitation Increment - Snow-adj (in),Change In Soil Temperature Observed -8in (degF)
10/2/02,25,0.5,-1
10/3/02,22,0.4,0
10/4/02,20,0,0
10/5/02,24,0,0
10/6/02,27,0,-1
10/7/02,30,0.1,0
10/8/02,30,0,0
10/9/02,32,0,0
10/10/02,32,0,-1
10/11/02,37,0,0
10/12/02,27,0,0
10/13/02,34,0,0
10/14/02,29,0,0
10/15/02,29,0,0
10/16/02,31,0,0
10/17/02,30,0,0
10/18/02,29,0,0
10/19/02,29,0,0
10/20/02,27,0,0
10/21/02,27,0,0
10/22/02,28,0.5,-1
10/23/02,23,0,0
10/24/02,22,0,0
10/25/02,24,0,0
10/26/02,27,0.3,0
10/27/02,27,0.1,0
10/28/02,19,0,0
10/29/02,15,0,0
10/30/02,15,0,0
10/31/02,22,0,0
11/1/02,23,0,0
11/2/02,18,0,0
11/3/02,13,0,0
11/4/02,17,0,0
11/5/02,20,0,0
11/6/02,23,0,0
11/7/02,27,0.4,0
11/8/02,24,1,0
11/9/02,31,0.5,0
11/10/02,13,0.5,0
11/11/02,18,0.2,0
11/12/02,10,0,0
11/13/02,24,0,0
11/14/02,19,0,-1
11/15/02,17,0,0
11/16/02,18,0,0
11/17/02,27,0,0
11/18/02,15,0,0
11/19/02,19,0,0
11/20/02,37,0,0
11/21/02,31,0,0
11/22/02,30,0,0
11/23/02,29,0,0
11/24/02,23,0,0
11/25/02,16,0,0
11/26/02,20,0,0
11/27/02,17,0,0
11/28/02,23,0,0
11/29/02,26,0,0
11/30/02,26,0.4,0
12/1/02,24,0,0
12/2/02,17,0,0
12/3/02,13,0,0
12/4/02,13,0,0
12/5/02,15,0,0
12/6/02,14,0,0
12/7/02,17,0,0
12/8/02,17,0,0
12/9/02,23,0.1,0
12/10/02,18,0,0
12/11/02,17,0,0
12/12/02,14,0,0
12/13/02,16,0.1,0
12/14/02,16,0.1,0
12/15/02,28,0,-1
12/16/02,18,0.2,0
12/17/02,18,0.9,0
12/18/02,11,0.1,0
12/19/02,-2,0.1,0
12/20/02,10,0.3,0
12/21/02,-1,0.1,0
12/22/02,2,0,0
12/23/02,7,0.1,0
12/24/02,2,0,0
12/25/02,0,0,0
12/26/02,-2,0.1,0
12/27/02,7,0.1,0
12/28/02,20,0.1,0
12/29/02,18,0.3,0
12/30/02,5,0,0
12/31/02,17,0.4,0
1/1/03,11,0.1,0
1/2/03,14,0,0
1/3/03,23,0.1,0
1/4/03,23,0,0
1/5/03,25,0,0
1/6/03,15,0.1,0
1/7/03,25,0,0
1/8/03,23,0,0
1/9/03,21,0.1,0
1/10/03,21,0.2,0
1/11/03,21,0.2,0
1/12/03,11,0,0
1/13/03,16,0,0
1/14/03,22,0,0
1/15/03,23,0,0
1/16/03,19,0.1,0
1/17/03,29,0,0
1/18/03,22,0,0
1/19/03,27,0,0
1/20/03,20,0,0
1/21/03,19,0.1,0
1/22/03,18,0,0
1/23/03,23,0,0
1/24/03,21,0.1,0
1/25/03,19,0,0
1/26/03,19,0,0
1/27/03,26,0,0
1/28/03,26,0,0
1/29/03,17,0,0
1/30/03,24,0.1,0
1/31/03,28,0,0
2/1/03,30,0.1,0
2/2/03,29,0.4,0
2/3/03,9,0,0
2/4/03,7,0,0
2/5/03,5,0,0
2/6/03,,0,0
2/7/03,,0,0
2/8/03,,0,0
2/9/03,,0,0
2/10/03,,0,0
2/11/03,,0.2,0
2/12/03,21,0.2,0
2/13/03,27,0.4,0
2/14/03,25,0.2,0
2/15/03,15,0,0
2/16/03,18,0.3,0
2/17/03,20,0.4,0
2/18/03,19,0.3,0
2/19/03,8,0.1,0
2/20/03,16,0.1,0
2/21/03,11,0,0
2/22/03,15,0,0
2/23/03,6,0,0
2/24/03,13,0.2,0
2/25/03,20,0.7,0
2/26/03,18,0.1,0
2/27/03,11,0.2,0
2/28/03,3,0.1,0
3/1/03,9,0.5,0
3/2/03,10,0.1,0
3/3/03,6,0,0
3/4/03,13,1.1,0
3/5/03,9,0.1,0
3/6/03,15,0.1,0
3/7/03,18,0.1,0
3/8/03,18,0.1,0
3/9/03,19,0,0
3/10/03,19,0,0
3/11/03,22,0.1,0
3/12/03,28,0,0
3/13/03,25,0,0
3/14/03,33,0.1,0
3/15/03,23,0,0
3/16/03,25,0.7,0
3/17/03,20,0.9,0
3/18/03,15,0.3,0
3/19/03,15,0.1,0
3/20/03,18,0,0
3/21/03,16,0,0
3/22/03,21,0.1,0
3/23/03,24,0,0
3/24/03,26,0.1,0
3/25/03,15,0,0
3/26/03,26,0.2,0
3/27/03,16,0,0
3/28/03,7,0,0
3/29/03,6,0.1,0
3/30/03,19,0,0
3/31/03,26,0,0
4/1/03,26,0,0
4/2/03,28,0,0
4/3/03,16,0.2,0
4/4/03,4,0,0
4/5/03,15,0.3,0
4/6/03,11,0.1,0
4/7/03,11,0.1,0
4/8/03,13,0.1,0
4/9/03,26,0.1,0
4/10/03,29,0,0
4/11/03,26,0,0
4/12/03,28,0,0
4/13/03,29,0,0
4/14/03,29,0.2,0
4/15/03,27,0.4,0
4/16/03,16,0,0
4/17/03,23,0.1,0
4/18/03,20,0.4,0
4/19/03,16,0.3,1
4/20/03,20,0,-1
4/21/03,28,0,0
4/22/03,27,0.4,0
4/23/03,10,0,1
4/24/03,26,0.1,-1
4/25/03,28,0.1,0
