Date,Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Change In Precipitation Increment - Snow-adj (in),Change In Soil Moisture Percent -8in (pct)
1/1/00,26,0,0,
1/2/00,20,0.4,0.4,
1/3/00,24,0.1,-0.3,
1/4/00,29,0.3,0.2,
1/5/00,21,0,-0.3,
1/6/00,22,0.2,0.2,
1/7/00,28,0.1,-0.1,
1/8/00,29,0.1,0,
1/9/00,32,0,-0.1,
1/10/00,33,1,1,
1/11/00,33,0.6,-0.4,
1/12/00,29,0,-0.6,
1/13/00,38,0.1,0.1,
1/14/00,44,0,-0.1,
1/15/00,37,0.1,0.1,
1/16/00,34,0,-0.1,
1/17/00,31,0,0,
1/18/00,35,0.7,0.7,
1/19/00,,0.4,-0.3,
1/20/00,38,0.1,-0.3,
1/21/00,29,0.1,0,
1/22/00,27,0.1,0,
1/23/00,28,0.6,0.5,
1/24/00,31,1,0.4,
1/25/00,34,0.1,-0.9,
1/26/00,29,0,-0.1,
1/27/00,20,0,0,
1/28/00,19,0,0,
1/29/00,24,0,0,
1/30/00,26,0.2,0.2,
1/31/00,26,0.1,-0.1,
2/1/00,31,0.2,0.1,
2/2/00,44,0.1,-0.1,
2/3/00,43,0.1,0,
2/4/00,38,0,-0.1,
2/5/00,41,0,0,
2/6/00,38,0,0,
2/7/00,41,0.1,0.1,
2/8/00,42,0,-0.1,
2/9/00,36,0.1,0.1,
2/10/00,33,0.3,0.2,
2/11/00,31,0.4,0.1,
2/12/00,29,0.8,0.4,
2/13/00,31,0.9,0.1,
2/14/00,37,0.3,-0.6,
2/15/00,31,0.1,-0.2,
2/16/00,31,0.1,0,
2/17/00,28,0,-0.1,
2/18/00,27,0,0,
2/19/00,31,0,0,
2/20/00,37,0.1,0.1,
2/21/00,36,0,-0.1,
2/22/00,33,0.3,0.3,
2/23/00,27,0.3,0,
2/24/00,23,0.2,-0.1,
2/25/00,25,0.1,-0.1,
2/26/00,32,0.9,0.8,
2/27/00,33,0.5,-0.4,
2/28/00,31,0.2,-0.3,
2/29/00,29,0.5,0.3,
3/1/00,30,0.1,-0.4,
3/2/00,33,0.1,0,
3/3/00,38,0.1,0,
3/4/00,42,0,-0.1,
3/5/00,36,0.2,0.2,
3/6/00,31,0.9,0.7,
3/7/00,29,0.2,-0.7,
3/8/00,29,0.3,0.1,
3/9/00,27,0.2,-0.1,
3/10/00,31,0.1,-0.1,
3/11/00,34,0.2,0.1,
3/12/00,35,0.1,-0.1,
3/13/00,42,0,-0.1,
3/14/00,41,0,0,
3/15/00,35,0,0,
3/16/00,32,0.3,0.3,
3/17/00,31,0,-0.3,
3/18/00,41,0,0,
3/19/00,32,0.3,0.3,
3/20/00,24,0,-0.3,
3/21/00,35,0,0,
3/22/00,44,0.1,0.1,
3/23/00,36,0.6,0.5,
3/24/00,40,0.1,-0.5,
3/25/00,46,0,-0.1,
3/26/00,47,0,0,
3/27/00,46,0,0,
3/28/00,34,0,0,
3/29/00,33,0,0,
3/30/00,33,0.1,0.1,
3/31/00,40,0,-0.1,
4/1/00,47,0,0,
4/2/00,49,0,0,
4/3/00,54,0,0,
4/4/00,54,0,0,
4/5/00,49,0,0,
4/6/00,46,0,0,
4/7/00,45,0,0,
4/8/00,49,0.1,0.1,
4/9/00,41,0,-0.1,
4/10/00,47,0,0,
4/11/00,52,0.1,0.1,
4/12/00,55,0,-0.1,
4/13/00,43,0.6,0.6,
4/14/00,38,0.1,-0.5,
4/15/00,42,0,-0.1,
4/16/00,43,0,0,
4/17/00,47,0.1,0.1,
4/18/00,33,0.5,0.4,
4/19/00,37,0,-0.5,
4/20/00,47,0,0,
4/21/00,51,0.1,0.1,
4/22/00,44,0.1,0,
4/23/00,36,0.1,0,
4/24/00,40,0,-0.1,
4/25/00,48,0,0,
4/26/00,51,0,0,
4/27/00,59,0,0,
4/28/00,42,0,0,
4/29/00,39,0,0,
4/30/00,51,0,0,
5/1/00,60,0,0,
5/2/00,54,0,0,
5/3/00,56,0,0,
5/4/00,50,0.1,0.1,
5/5/00,46,0,-0.1,
5/6/00,43,0.1,0.1,
5/7/00,39,0.3,0.2,
5/8/00,44,0,-0.3,
5/9/00,46,0.1,0.1,
5/10/00,33,0.2,0.1,
5/11/00,30,0.1,-0.1,
5/12/00,38,0,-0.1,
5/13/00,47,0,0,
5/14/00,52,0,0,
5/15/00,52,0,0,
5/16/00,42,0.9,0.9,
5/17/00,48,0.2,-0.7,
5/18/00,50,0,-0.2,
5/19/00,56,0,0,
5/20/00,59,0,0,
5/21/00,63,0,0,
5/22/00,66,0,0,
5/23/00,64,0,0,
5/24/00,63,0,0,
5/25/00,55,0.2,0.2,
5/26/00,54,0,-0.2,
5/27/00,62,0,0,
5/28/00,59,0,0,
5/29/00,55,0,0,
5/30/00,49,0,0,
5/31/00,43,0,0,
6/1/00,53,0,0,
6/2/00,63,0,0,
6/3/00,64,0,0,
6/4/00,69,0,0,
6/5/00,64,0,0,
6/6/00,62,0,0,
6/7/00,65,0,0,
6/8/00,49,0.2,0.2,
6/9/00,47,0,-0.2,
6/10/00,51,0,0,
6/11/00,53,0,0,
6/12/00,55,0,0,
6/13/00,58,0,0,
6/14/00,67,0,0,
6/15/00,65,0,0,
6/16/00,53,0,0,
6/17/00,60,0,0,
6/18/00,65,0,0,
6/19/00,57,0,0,
6/20/00,58,0,0,
6/21/00,66,0,0,
6/22/00,71,0,0,
6/23/00,69,0,0,
6/24/00,69,0,0,
6/25/00,65,0,0,
6/26/00,67,0,0,
6/27/00,68,0,0,
6/28/00,71,0,0,
6/29/00,71,0,0,
6/30/00,72,0,0,
7/1/00,66,0,0,
7/2/00,62,0,0,
7/3/00,57,0,0,
7/4/00,55,0,0,
7/5/00,56,0,0,
7/6/00,56,0,0,
7/7/00,64,0,0,
7/8/00,61,0,0,
7/9/00,63,0,0,
7/10/00,65,0,0,
7/11/00,71,0,0,
7/12/00,73,0,0,
7/13/00,74,0,0,
7/14/00,71,0,0,
7/15/00,70,0,0,
7/16/00,69,0,0,
7/17/00,66,0,0,
7/18/00,65,0,0,
7/19/00,67,0,0,
7/20/00,70,0,0,
7/21/00,75,0,0,
7/22/00,74,0,0,
7/23/00,71,0,0,
7/24/00,71,0,0,
7/25/00,74,0,0,
7/26/00,72,0,0,
7/27/00,72,0,0,
7/28/00,76,0,0,
7/29/00,79,0,0,
7/30/00,78,0,0,
7/31/00,82,0,0,
8/1/00,80,0,0,
8/2/00,79,0,0,
8/3/00,72,0,0,
8/4/00,69,0,0,
8/5/00,73,0,0,
8/6/00,73,0,0,
8/7/00,76,0,0,
8/8/00,75,0,0,
8/9/00,74,0,0,
8/10/00,68,0,0,
8/11/00,64,0,0,
8/12/00,71,0,0,
8/13/00,70,0,0,
8/14/00,70,0,0,
8/15/00,71,0,0,
8/16/00,70,0,0,
8/17/00,70,0,0,
8/18/00,69,0,0,
8/19/00,63,0,0,
8/20/00,61,0,0,
8/21/00,63,0,0,
8/22/00,69,0,0,
8/23/00,68,0,0,
8/24/00,67,0,0,
8/25/00,72,0,0,
8/26/00,68,0,0,
8/27/00,69,0,0,
8/28/00,68,0,0,
8/29/00,71,0,0,
8/30/00,65,0,0,
8/31/00,54,0.3,0.3,
9/1/00,47,0,-0.3,
9/2/00,43,0.6,0.6,
9/3/00,47,0,-0.6,
9/4/00,50,0.1,0.1,
9/5/00,44,0,-0.1,
9/6/00,49,0.1,0.1,
9/7/00,56,0,-0.1,
9/8/00,59,0,0,
9/9/00,53,0,0,
9/10/00,61,0,0,
9/11/00,63,0,0,
9/12/00,69,0,0,
9/13/00,72,0,0,
9/14/00,73,0,0,
9/15/00,69,0,0,
9/16/00,66,0,0,
9/17/00,62,0,0,
9/18/00,67,0,0,
9/19/00,64,0,0,
9/20/00,58,0,0,
9/21/00,54,0,0,
9/22/00,41,0,0,
9/23/00,39,0,0,
9/24/00,44,0,0,
9/25/00,54,0,0,
9/26/00,58,0,0,
9/27/00,62,0,0,
9/28/00,63,0,0,
9/29/00,61,0,0,
9/30/00,59,0,0,
10/1/00,59,0,0,
10/2/00,54,0,0,
10/3/00,50,0,0,
10/4/00,52,0,0,
10/5/00,49,0,0,
10/6/00,55,0,0,
10/7/00,58,0,0,
10/8/00,60,0,0,
10/9/00,53,1.1,1.1,
10/10/00,34,0.7,-0.4,
10/11/00,33,0.3,-0.4,
10/12/00,36,0.1,-0.2,
10/13/00,40,0,-0.1,
10/14/00,41,0,0,
10/15/00,45,0,0,
10/16/00,47,0,0,
10/17/00,53,0.1,0.1,
10/18/00,54,0,-0.1,
10/19/00,50,0,0,
10/20/00,48,0.5,0.5,
10/21/00,33,0.1,-0.4,
10/22/00,33,0,-0.1,
10/23/00,44,0,0,
10/24/00,47,0,0,
10/25/00,46,0.1,0.1,
10/26/00,35,0.3,0.2,
10/27/00,36,0.1,-0.2,
10/28/00,38,0.2,0.1,
10/29/00,31,0.5,0.3,
10/30/00,32,0.1,-0.4,
10/31/00,36,0,-0.1,
11/1/00,33,0,0,
