Date,Air Temperature Observed (degF) Start of Day Values,Precipitation Increment (in),Change In Precipitation Increment (in),Wind Speed Maximum (mph),Soil Moisture Percent -8in (pct) Start of Day Values
1/1/00,26,0.1,0.1,,
1/2/00,15,0.2,0.1,,
1/3/00,20,0.2,0,,
1/4/00,34,0,-0.2,,
1/5/00,22,0,0,,
1/6/00,22,0,0,,
1/7/00,29,0,0,,
1/8/00,32,0,0,,
1/9/00,29,0,0,,
1/10/00,26,0.3,0.3,,
1/11/00,26,1.4,1.1,,
1/12/00,23,0.5,-0.9,,
1/13/00,24,0.3,-0.2,,
1/14/00,32,0.1,-0.2,,
1/15/00,31,1.5,1.4,,
1/16/00,30,1.1,-0.4,,
1/17/00,29,0.5,-0.6,,
1/18/00,29,2.1,1.6,,
1/19/00,33,0.6,-1.5,,
1/20/00,31,0.3,-0.3,,
1/21/00,,0.4,0.1,,
1/22/00,,0.4,0,,
1/23/00,27,0.8,0.4,,
1/24/00,29,3.2,2.4,,
1/25/00,,2.2,-1,,
1/26/00,,0,-2.2,,
1/27/00,20,0,0,,
1/28/00,15,0.2,0.2,,
1/29/00,24,0.1,-0.1,,
1/30/00,26,0.5,0.4,,
1/31/00,19,0.9,0.4,,
2/1/00,31,0.1,-0.8,,
2/2/00,44,0,-0.1,,
2/3/00,40,0.2,0.2,,
2/4/00,27,0.3,0.1,,
2/5/00,31,0,-0.3,,
2/6/00,27,0.1,0.1,,
2/7/00,40,0.1,0,,
2/8/00,38,0,-0.1,,
2/9/00,33,0.2,0.2,,
2/10/00,29,0.4,0.2,,
2/11/00,24,0,-0.4,,
2/12/00,23,1.1,1.1,,
2/13/00,23,3.9,2.8,,
2/14/00,32,1.4,-2.5,,
2/15/00,,1.9,0.5,,
2/16/00,26,0.1,-1.8,,
2/17/00,20,0.2,0.1,,
2/18/00,20,0.1,-0.1,,
2/19/00,23,0.1,0,,
2/20/00,32,0.3,0.2,,
2/21/00,28,0.1,-0.2,,
2/22/00,25,1.3,1.2,,
2/23/00,22,0.5,-0.8,,
2/24/00,14,0,-0.5,,
2/25/00,16,0.3,0.3,,
2/26/00,23,1.4,1.1,,
2/27/00,30,1.4,0,,
2/28/00,20,0.2,-1.2,,
2/29/00,23,0.2,0,,
3/1/00,18,0.9,0.7,,
3/2/00,,0.3,-0.6,,
3/3/00,25,0.3,0,,
3/4/00,33,0.1,-0.2,,
3/5/00,27,0.1,0,,
3/6/00,18,0,-0.1,,
3/7/00,18,0.2,0.2,,
3/8/00,21,0.3,0.1,,
3/9/00,18,0.9,0.6,,
3/10/00,19,0.5,-0.4,,
3/11/00,27,0.1,-0.4,,
3/12/00,26,0.2,0.1,,
3/13/00,33,0,-0.2,,
3/14/00,36,0,0,,
3/15/00,34,0,0,,
3/16/00,35,0,0,,
3/17/00,21,0,0,,
3/18/00,33,0,0,,
3/19/00,38,0,0,,
3/20/00,,0,0,,
3/21/00,,0,0,,
3/22/00,,0,0,,
3/23/00,30,0,0,,
3/24/00,,0,0,,
3/25/00,37,0,0,,
3/26/00,38,0,0,,
3/27/00,38,0,0,,
3/28/00,25,0,0,,
3/29/00,26,0,0,,
3/30/00,,0,0,,
3/31/00,27,0,0,,
4/1/00,,0,0,,
4/2/00,,0,0,,
4/3/00,,0,0,,
4/4/00,44,0,0,,
4/5/00,39,0,0,,
4/6/00,39,0,0,,
4/7/00,37,0,0,,
4/8/00,,0,0,,
4/9/00,30,0,0,,
4/10/00,29,0,0,,
4/11/00,40,0,0,,
4/12/00,,0,0,,
4/13/00,,1.7,1.7,,
4/14/00,,0.3,-1.4,,
4/15/00,26,0,-0.3,,
4/16/00,28,0.2,0.2,,
4/17/00,,0.7,0.5,,
4/18/00,,0.2,-0.5,,
4/19/00,,0,-0.2,,
4/20/00,33,0,0,,
4/21/00,35,0,0,,
4/22/00,,0,0,,
4/23/00,,0,0,,
4/24/00,27,0.4,0.4,,
4/25/00,39,0,-0.4,,
4/26/00,42,0,0,,
4/27/00,46,0,0,,
4/28/00,32,0,0,,
4/29/00,24,0,0,,
4/30/00,37,0,0,,
5/1/00,46,0,0,,
5/2/00,,0,0,,
5/3/00,,0,0,,
5/4/00,39,0,0,,
5/5/00,,0,0,,
5/6/00,32,0.7,0.7,,
5/7/00,29,1.5,0.8,,
5/8/00,34,0.8,-0.7,,
5/9/00,38,0,-0.8,,
5/10/00,31,0.1,0.1,,
5/11/00,15,0.4,0.3,,
5/12/00,,0,-0.4,,
5/13/00,,0,0,,
5/14/00,39,0,0,,
5/15/00,,0,0,,
5/16/00,,0.5,0.5,,
5/17/00,,0.1,-0.4,,
5/18/00,,0.1,0,,
5/19/00,42,0.1,0,,
5/20/00,46,0.1,0,,
5/21/00,48,0,-0.1,,
5/22/00,,0,0,,
5/23/00,,0.2,0.2,,
5/24/00,,0,-0.2,,
5/25/00,44,0,0,,
5/26/00,40,0,0,,
5/27/00,49,0,0,,
5/28/00,45,0,0,,
5/29/00,47,0,0,,
5/30/00,41,0,0,,
5/31/00,38,0,0,,
6/1/00,39,0,0,,
6/2/00,50,0,0,,
6/3/00,50,0,0,,
6/4/00,,0,0,,
6/5/00,52,0,0,,
6/6/00,46,0,0,,
6/7/00,45,0.4,0.4,,
6/8/00,,0,-0.4,,
6/9/00,32,0,0,,
6/10/00,35,0,0,,
6/11/00,42,0,0,,
6/12/00,45,0,0,,
6/13/00,46,0,0,,
6/14/00,56,0,0,,
6/15/00,,0,0,,
6/16/00,55,0,0,,
6/17/00,,0,0,,
6/18/00,52,0,0,,
6/19/00,49,0,0,,
6/20/00,51,0,0,,
6/21/00,53,0,0,,
6/22/00,,0,0,,
6/23/00,56,0,0,,
6/24/00,54,0,0,,
6/25/00,56,0,0,,
6/26/00,55,0,0,,
6/27/00,54,0,0,,
6/28/00,56,0,0,,
6/29/00,57,0,0,,
6/30/00,58,0,0,,
7/1/00,51,0,0,,
7/2/00,45,0,0,,
7/3/00,42,0,0,,
7/4/00,37,0,0,,
7/5/00,42,0,0,,
7/6/00,39,0,0,,
7/7/00,44,0,0,,
7/8/00,42,0,0,,
7/9/00,47,0,0,,
7/10/00,48,0,0,,
7/11/00,51,0,0,,
7/12/00,56,0,0,,
7/13/00,53,0,0,,
7/14/00,56,0,0,,
7/15/00,55,0,0,,
7/16/00,54,0,0,,
7/17/00,,0,0,,
7/18/00,53,0,0,,
7/19/00,53,0,0,,
7/20/00,51,0,0,,
7/21/00,57,0,0,,
7/22/00,,0,0,,
7/23/00,56,0,0,,
7/24/00,53,0,0,,
7/25/00,56,0,0,,
7/26/00,56,0,0,,
7/27/00,53,0,0,,
7/28/00,58,0,0,,
7/29/00,59,0,0,,
7/30/00,61,0,0,,
7/31/00,62,0,0,,
8/1/00,64,0,0,,
8/2/00,63,0,0,,
8/3/00,63,0,0,,
8/4/00,59,0,0,,
8/5/00,56,0,0,,
8/6/00,57,0,0,,
8/7/00,56,0,0,,
8/8/00,54,0,0,,
8/9/00,53,0,0,,
8/10/00,52,0,0,,
8/11/00,47,0,0,,
8/12/00,58,0,0,,
8/13/00,52,0,0,,
8/14/00,52,0,0,,
8/15/00,58,0,0,,
8/16/00,58,0,0,,
8/17/00,60,0,0,,
8/18/00,56,0,0,,
8/19/00,50,0,0,,
8/20/00,49,0,0,,
8/21/00,51,0,0,,
8/22/00,55,0,0,,
8/23/00,56,0,0,,
8/24/00,53,0,0,,
8/25/00,58,0,0,,
8/26/00,57,0,0,,
8/27/00,55,0,0,,
8/28/00,54,0,0,,
8/29/00,58,0,0,,
8/30/00,52,0,0,,
8/31/00,49,0,0,,
9/1/00,39,0.7,0.7,,
9/2/00,30,1,0.3,,
9/3/00,35,0,-1,,
9/4/00,36,0,0,,
9/5/00,30,0.1,0.1,,
9/6/00,35,0,-0.1,,
9/7/00,44,0.2,0.2,,
9/8/00,50,0,-0.2,,
9/9/00,48,0.1,0.1,,
9/10/00,52,0,-0.1,,
9/11/00,53,0,0,,
9/12/00,57,0,0,,
9/13/00,60,0,0,,
9/14/00,63,0,0,,
9/15/00,53,0,0,,
9/16/00,50,0,0,,
9/17/00,54,0,0,,
9/18/00,55,0,0,,
9/19/00,60,0,0,,
9/20/00,60,0,0,,
9/21/00,55,0,0,,
9/22/00,42,0,0,,
9/23/00,32,0.1,0.1,,
9/24/00,38,0,-0.1,,
9/25/00,45,0,0,,
9/26/00,46,0,0,,
9/27/00,46,0,0,,
9/28/00,49,0,0,,
9/29/00,46,0,0,,
9/30/00,53,0,0,,
10/1/00,53,0,0,,
10/2/00,51,0,0,,
10/3/00,47,0,0,,
10/4/00,47,0,0,,
10/5/00,46,0,0,,
10/6/00,49,0,0,,
10/7/00,49,0,0,,
10/8/00,49,0,0,,
10/9/00,49,0.1,0.1,,
10/10/00,26,0.8,0.7,,
10/11/00,26,0.1,-0.7,,
10/12/00,25,0.2,0.1,,
10/13/00,29,0.2,0,,
10/14/00,32,0.1,-0.1,,
10/15/00,39,0,-0.1,,
10/16/00,38,0,0,,
10/17/00,42,0,0,,
10/18/00,46,0,0,,
10/19/00,42,0,0,,
10/20/00,46,0,0,,
10/21/00,33,0,0,,
10/22/00,24,0,0,,
10/23/00,28,0.1,0.1,,
10/24/00,39,0,-0.1,,
10/25/00,36,0.3,0.3,,
10/26/00,29,0.9,0.6,,
10/27/00,28,0.1,-0.8,,
10/28/00,30,1.2,1.1,,
10/29/00,25,1.3,0.1,,
10/30/00,22,0.1,-1.2,,
10/31/00,22,0,-0.1,,
11/1/00,26,0.2,0.2,,
11/2/00,26,0,-0.2,,
11/3/00,30,0,0,,
11/4/00,30,0.2,0.2,,
11/5/00,36,0,-0.2,,
11/6/00,33,0,0,,
11/7/00,22,0,0,,
11/8/00,37,0.4,0.4,,
11/9/00,22,0,-0.4,,
11/10/00,13,0.2,0.2,,
11/11/00,14,0,-0.2,,
11/12/00,12,0,0,,
11/13/00,25,0.6,0.6,,
11/14/00,16,0.1,-0.5,,
11/15/00,14,0,-0.1,,
11/16/00,13,0,0,,
11/17/00,16,0.3,0.3,,
11/18/00,29,0.3,0,,
11/19/00,37,0,-0.3,,
11/20/00,35,0,0,,
11/21/00,39,0,0,,
11/22/00,24,0,0,,
11/23/00,29,0,0,,
11/24/00,34,0,0,,
11/25/00,31,0,0,,
11/26/00,36,0,0,,
11/27/00,36,0,0,,
11/28/00,36,0,0,,
11/29/00,37,1,1,,
11/30/00,26,0.3,-0.7,,
12/1/00,37,0,-0.3,,
12/2/00,35,0,0,,
12/3/00,38,0.1,0.1,,
12/4/00,38,0,-0.1,,
12/5/00,36,0,0,,
12/6/00,36,0,0,,
12/7/00,39,0,0,,
12/8/00,32,0,0,,
12/9/00,30,0.1,0.1,,
12/10/00,29,0.2,0.1,,
12/11/00,32,0.3,0.1,,
12/12/00,23,0.2,-0.1,,
12/13/00,21,0.9,0.7,,
12/14/00,24,1.1,0.2,,
12/15/00,29,0,-1.1,,
12/16/00,,0,0,,
12/17/00,34,0,0,,
12/18/00,26,0,0,,
12/19/00,40,0.4,0.4,,
12/20/00,34,0,-0.4,,
12/21/00,38,0.1,0.1,,
12/22/00,,0,-0.1,,
12/23/00,34,0,0,,
12/24/00,27,0,0,,
12/25/00,,0,0,,
12/26/00,25,0.1,0.1,,
12/27/00,42,0,-0.1,,
12/28/00,36,0,0,,
12/29/00,41,0,0,,
12/30/00,37,0,0,,
12/31/00,35,0,0,,
1/1/01,32,0,0,,
1/2/01,33,0,0,,
1/3/01,41,0,0,,
1/4/01,43,0,0,,
1/5/01,42,0,0,,
1/6/01,38,0,0,,
1/7/01,36,0,0,,
1/8/01,34,0,0,,
1/9/01,24,0.5,0.5,,
1/10/01,,0.6,0.1,,
1/11/01,22,1,0.4,,
1/12/01,19,0.1,-0.9,,
1/13/01,19,0.1,0,,
1/14/01,19,0,-0.1,,
1/15/01,,0,0,,
1/16/01,,0,0,,
1/17/01,,0.3,0.3,,
1/18/01,,0.1,-0.2,,
1/19/01,33,0,-0.1,,
1/20/01,,0.3,0.3,,
1/21/01,34,0,-0.3,,
1/22/01,34,0,0,,
1/23/01,30,0,0,,
1/24/01,,0.3,0.3,,
1/25/01,,0.6,0.3,,
1/26/01,,0.2,-0.4,,
1/27/01,,0,-0.2,,
1/28/01,,0.2,0.2,,
1/29/01,,0,-0.2,,
1/30/01,,0,0,,
1/31/01,,0.1,0.1,,
2/1/01,,0.4,0.3,,
2/2/01,34,0.1,-0.3,,
2/3/01,35,0,-0.1,,
2/4/01,38,0.2,0.2,,
2/5/01,42,0,-0.2,,
2/6/01,32,0,0,,
2/7/01,,0,0,,
2/8/01,,0,0,,
2/9/01,,0.1,0.1,,
2/10/01,,1.1,1,,
2/11/01,,0.8,-0.3,,
2/12/01,,0.2,-0.6,,
2/13/01,,0.1,-0.1,,
2/14/01,,0,-0.1,,
2/15/01,22,0.1,0.1,,
2/16/01,23,0.3,0.2,,
2/17/01,30,0,-0.3,,
2/18/01,26,0.2,0.2,,
2/19/01,27,0.9,0.7,,
2/20/01,24,0.6,-0.3,,
2/21/01,26,0.8,0.2,,
2/22/01,26,0.4,-0.4,,
2/23/01,15,0.3,-0.1,,
2/24/01,21,0.3,0,,
2/25/01,22,0.6,0.3,,
2/26/01,26,0,-0.6,,
2/27/01,22,0,0,,
2/28/01,17,0,0,,
3/1/01,21,0.2,0.2,,
3/2/01,24,0.2,0,,
3/3/01,17,0.4,0.2,,
3/4/01,28,0.6,0.2,,
3/5/01,29,0.9,0.3,,
3/6/01,31,0,-0.9,,
3/7/01,33,0,0,,
3/8/01,35,0,0,,
3/9/01,29,0.2,0.2,,
3/10/01,20,0.3,0.1,,
3/11/01,28,0,-0.3,,
3/12/01,26,0.1,0.1,,
3/13/01,34,0.1,0,,
3/14/01,37,0,-0.1,,
3/15/01,33,0,0,,
3/16/01,28,0,0,,
3/17/01,34,0,0,,
3/18/01,35,0,0,,
3/19/01,45,0.2,0.2,,
3/20/01,44,0,-0.2,,
3/21/01,40,0,0,,
3/22/01,39,0,0,,
3/23/01,36,0,0,,
3/24/01,43,0,0,,
3/25/01,35,0.4,0.4,,
3/26/01,35,0,-0.4,,
3/27/01,38,0,0,,
3/28/01,38,0,0,,
3/29/01,38,0,0,,
3/30/01,36,0,0,,
3/31/01,39,0,0,,
4/1/01,40,0,0,,
4/2/01,30,0,0,,
4/3/01,18,0,0,,
4/4/01,15,0.1,0.1,,
4/5/01,24,0,-0.1,,
4/6/01,25,0.7,0.7,,
4/7/01,22,0.7,0,,
4/8/01,15,0.2,-0.5,,
4/9/01,16,0.2,0,,
4/10/01,20,0.3,0.1,,
4/11/01,25,0.4,0.1,,
4/12/01,18,0.1,-0.3,,
4/13/01,26,0,-0.1,,
4/14/01,24,0.2,0.2,,
4/15/01,30,0.2,0,,
4/16/01,38,0,-0.2,,
4/17/01,35,0,0,,
4/18/01,36,0.6,0.6,,
4/19/01,29,0.9,0.3,,
4/20/01,22,1,0.1,,
4/21/01,24,0.5,-0.5,,
4/22/01,28,0.2,-0.3,,
4/23/01,34,0.2,0,,
4/24/01,41,0,-0.2,,
4/25/01,45,0,0,,
4/26/01,47,0,0,,
4/27/01,42,0,0,,
4/28/01,35,0,0,,
4/29/01,34,0,0,,
4/30/01,47,0,0,,
5/1/01,45,0,0,,
5/2/01,30,0,0,,
5/3/01,27,0,0,,
5/4/01,36,0,0,,
5/5/01,43,0,0,,
5/6/01,46,0,0,,
5/7/01,46,0,0,,
5/8/01,51,0,0,,
5/9/01,50,0,0,,
5/10/01,46,0,0,,
5/11/01,51,0,0,,
5/12/01,53,0,0,,
5/13/01,46,0,0,,
5/14/01,43,0,0,,
5/15/01,44,0.9,0.9,,
5/16/01,44,0,-0.9,,
5/17/01,43,0.1,0.1,,
5/18/01,48,0,-0.1,,
5/19/01,49,0,0,,
5/20/01,50,0,0,,
5/21/01,51,0,0,,
5/22/01,51,0,0,,
5/23/01,53,0,0,,
5/24/01,56,0,0,,
5/25/01,52,0,0,,
5/26/01,53,0,0,,
5/27/01,50,0,0,,
5/28/01,45,0,0,,
5/29/01,46,0,0,,
5/30/01,51,0,0,,
5/31/01,56,0,0,,
6/1/01,56,0,0,,
6/2/01,45,0,0,,
6/3/01,40,0,0,,
6/4/01,35,0,0,,
6/5/01,44,0,0,,
6/6/01,44,0,0,,
6/7/01,53,0,0,,
6/8/01,51,0,0,,
6/9/01,47,0,0,,
6/10/01,49,0,0,,
6/11/01,47,0,0,,
6/12/01,43,0,0,,
6/13/01,41,0,0,,
6/14/01,42,0,0,,
6/15/01,50,0,0,,
6/16/01,54,0,0,,
6/17/01,55,0,0,,
6/18/01,51,0,0,,
6/19/01,53,0,0,,
6/20/01,54,0,0,,
6/21/01,62,0,0,,
6/22/01,58,0,0,,
6/23/01,58,0,0,,
6/24/01,50,0,0,,
6/25/01,47,0,0,,
6/26/01,41,0,0,,
6/27/01,46,0.1,0.1,,
6/28/01,46,0.1,0,,
6/29/01,52,0,-0.1,,
6/30/01,54,0,0,,
7/1/01,57,0,0,,
7/2/01,58,0,0,,
7/3/01,66,0,0,,
7/4/01,64,0,0,,
7/5/01,57,0,0,,
7/6/01,56,0,0,,
7/7/01,54,0,0,,
7/8/01,51,0,0,,
7/9/01,56,0,0,,
7/10/01,54,0,0,,
7/11/01,51,0,0,,
7/12/01,47,0,0,,
7/13/01,52,0,0,,
7/14/01,49,0,0,,
7/15/01,48,0,0,,
7/16/01,48,0,0,,
7/17/01,45,0,0,,
7/18/01,47,0,0,,
7/19/01,48,0,0,,
7/20/01,49,0,0,,
7/21/01,48,0,0,,
7/22/01,46,0,0,,
7/23/01,51,0,0,,
7/24/01,54,0,0,,
7/25/01,62,0,0,,
